date,map,winner1,winner2,winner3,winner4,winner5,loser1,loser2,loser3,loser4,loser5
2022-10-11,Ascent,tang,sun,darwin,cade,sophie,lindsey,steven,steve,josh,brian
2022-10-11,Split,steven,tang,lindsey,steve,sophie,sun,josh,cade,darwin,brian
2022-10-18,Icebox,andy,cade,steven,josh,sophie,,lindsey,,tang,brian
2022-10-21,Pearl,darwin,sun,cade,sophie,,andy,susu,josh,brian,susi
2022-10-22,Split,sequential,susi,darwin,susu,brian,josh,cade,andy,sun,sophie
2022-10-22,Ascent,andy,tang,sophie,darwin,josh,lindsey,cade,sequential,susi,brian
2022-10-22,Split,andy,tang,cade,darwin,brian,sequential,lindsey,josh,susi,sophie
2022-10-22,Bind,sequential,tang,darwin,susi,,andy,lindsey,cade,sophie,josh
2022-10-23,Bind,josh,sun,cade,lindsey,sophie,andy,steven,brian,darwin,
2022-10-23,Icebox,lindsey,josh,cade,tang,darwin,susi,sequential,susu,,sophie
2022-11-06,Split,sun,tang,darwin,lindsey,brian,andy,cade,susi,josh,sophie
2022-11-12,Ascent,sequential,darwin,susu,steve,susi,lindsey,brian,steven,andy,sophie
2022-11-12,Pearl,andy,lindsey,cade,darwin,sophie,sequential,brian,susu,susi,
2022-11-12,Bind,sequential,cade,lindsey,brian,darwin,andy,susu,susi,sophie,
2022-11-13,Icebox,sequential,josh,cade,susi,sophie,darwin,lindsey,andy,brian,
2022-11-13,Ascent,steven,andy,,cade,susi,sequential,josh,lindsey,sophie,
2022-11-14,Bind,andy,tang,josh,lindsey,sophie,susi,steven,darwin,cade,brian
2022-11-18,Fracture,tang,sun,cade,josh,darwin,steve,sequential,lindsey,sophie,brian
2022-11-18,Split,sequential,steve,lindsey,sophie,darwin,tang,sun,josh,cade,brian
2022-11-18,Bind,tang,darwin,cade,lindsey,brian,steve,sun,sequential,josh,sophie
2022-11-19,Breeze,darwin,andy,lindsey,brian,sophie,steven,cade,josh,steve,brandon
2022-11-20,Haven,lindsey,steve,josh,darwin,cade,andy,tang,sophie,steven,brian
2022-11-20,Pearl,sequential,steven,andy,tang,sophie,cade,steve,lindsey,josh,darwin
2022-11-20,Fracture,andy,cade,lindsey,josh,sophie,sequential,susi,sun,darwin,brian
2022-11-20,Icebox,sophie,andy,sun,darwin,josh,sequential,cade,lindsey,susi,brian
2022-11-25,Haven,andy,tang,steven,sophie,brian,sun,darwin,steve,lindsey,josh
2022-11-25,Pearl,tang,andy,steven,sophie,brian,darwin,steve,sun,lindsey,josh
2022-11-26,Ascent,tang,andy,steve,josh,lindsey,sequential,sun,sophie,darwin,susi
2022-11-26,Fracture,sequential,susu,steve,susi,,darwin,andy,lindsey,sophie,brian
2022-12-02,Split,lindsey,sun,josh,tang,sophie,cade,andy,darwin,steve,brian
2022-12-03,Bind,andy,steve,josh,darwin,brian,steven,cade,sophie,lindsey,brandon
2022-12-03,Breeze,steven,darwin,josh,lindsey,brian,andy,cade,steve,sophie,brandon
2022-12-03,Ascent,steven,andy,steve,sophie,brandon,darwin,josh,lindsey,cade,brian
2022-12-04,Pearl,cade,josh,andy,darwin,lindsey,sequential,yang,sophie,susi,steve
2022-12-04,Haven,cade,lindsey,darwin,josh,susi,sequential,andy,steve,yang,sophie
2022-12-05,Icebox,sun,steven,josh,steve,lindsey,andy,darwin,tang,cade,sophie
2022-12-09,Bind,andy,tang,darwin,sophie,brian,sun,sequential,lindsey,brandon,steve
2022-12-10,Split,sequential,tang,andy,sophie,,steve,brandon,darwin,sun,lindsey
2022-12-10,Ascent,sequential,andy,tang,sophie,,darwin,lindsey,cade,sun,steve
2022-12-10,Bind,andy,tang,steven,brandon,brian,sequential,josh,lindsey,darwin,
2022-12-10,Ascent,lindsey,sequential,tang,josh,brian,andy,darwin,steven,sun,
2022-12-11,Haven,andy,tang,darwin,lindsey,josh,sequential,yang,sun,sophie,steven
2022-12-11,Split,andy,darwin,lindsey,josh,tang,sequential,sun,yang,steven,sophie